rain_location,rain_time,temperature_after_rain,article_link,article_title
Bengaluru,NA,28,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/will-rain-thunderstorms-play-a-spoilsport-and-severely-dent-rcbs-playoffs-hopes-washout-scenarios-explained/articleshow/110057320.cms,"Will rain, thunderstorms play a spoilsport and severely dent RCB's ..."
Southern Brazil,NA,NA,https://timesofindia.indiatimes.com/world/rest-of-world/rivers-rise-again-as-rain-batters-flood-hit-south-brazil/articleshow/110076252.cms,Rivers rise again as rain batters flood-hit south Brazil - Times of India
"['Adilabad', 'Medak', 'Sangareddy']",NA,NA,https://timesofindia.indiatimes.com/city/hyderabad/government-to-procure-rain-soaked-paddy/articleshow/110064784.cms,Paddy: Government to Procure Rain-Soaked Paddy | Hyderabad ...
"Pamban, Ramanathapuram",NA,37,https://timesofindia.indiatimes.com/city/madurai/rain-likely-this-week-in-south-tn-vaigai-sees-copious-flow/articleshow/110063784.cms,Rain: Rain Likely This Week In South Tn; Vaigai Sees Copious Flow ...
"['Bhubaneswar', 'Cuttack']",NA,34.7,https://timesofindia.indiatimes.com/city/bhubaneswar/rain-relief-for-capital-mercury-falls-by-8-3c/articleshow/110065018.cms,"Rain Relief: Rain Relief For Capital, Mercury Falls By 8.3°c ..."
Bengaluru,NA,NA,https://timesofindia.indiatimes.com/city/bengaluru/rain-and-wind-uproot-13-trees/articleshow/110063175.cms,Rain and wind uproot 13 trees | Bengaluru News - Times of India
Hubballi,NA,NA,https://timesofindia.indiatimes.com/city/hubballi/hdmc-takes-up-rain-relief-works/articleshow/110064592.cms,HDMC takes up rain relief works | Hubballi News - Times of India
Some parts of the city,NA,39.8,https://timesofindia.indiatimes.com/city/delhi/some-parts-likely-to-witness-light-rain-in-delhi-today/articleshow/110066641.cms,Some parts likely to witness light rain in Delhi today | Delhi News ...
Indore and Ujjain division,NA,NA,https://timesofindia.indiatimes.com/city/indore/respite-from-heat-on-poll-day-met-alert-for-rain-thunderstorm-today/articleshow/110063624.cms,Weather Forecast: Respite from heat on poll day: Met alert for rain ...
Bihar,NA,NA,https://www.bhaskar.com/national/news/imd-monsoon-2024-weather-update-maharashtra-mp-cg-rajasthan-rain-alert-133008392.html,MP Bihar IMD Weather Rainfall Photos Update; Delhi Maharashtra ...
